"id","submitdate","lastpage","startlanguage","seed","wiek","plec","G99Q99","G00Q00","G00Q01","G01Q00","G01Q01","G02Q00","G02Q01","G03Q00","G03Q01","G04Q00","G04Q01","G05Q00","G05Q01","G06Q00","G06Q01","G07Q00","G07Q01","G08Q00","G08Q01","G09Q00","G09Q01","G10Q00","G10Q01","G11Q00","G11Q01","G13Q00","G13Q01","G14Q00","G14Q01","G15Q00","G15Q01","G17Q00","G17Q01","G19Q00","G19Q01","G22Q00","G22Q01","G25Q00","G25Q01","G28Q00","G28Q01","G32Q00","G32Q01","G37Q00","G37Q01","G42Q00","G42Q01","G49Q00","G49Q01","G57Q00","G57Q01","G66Q00","G66Q01","G77Q00","G77Q01","G89Q00","G89Q01","G103Q00","G103Q01","G118Q00","G118Q01","G134Q00","G134Q01","G152Q00","G152Q01","G170Q00","G170Q01","G191Q00","G191Q01","G210Q00","G210Q01","interviewtime","groupTime32002","wiekTime","plecTime","groupTime32001","G99Q99Time","groupTime31920","G00Q00Time","G00Q01Time","groupTime31921","G01Q00Time","G01Q01Time","groupTime31922","G02Q00Time","G02Q01Time","groupTime31923","G03Q00Time","G03Q01Time","groupTime31924","G04Q00Time","G04Q01Time","groupTime31925","G05Q00Time","G05Q01Time","groupTime31926","G06Q00Time","G06Q01Time","groupTime31927","G07Q00Time","G07Q01Time","groupTime31928","G08Q00Time","G08Q01Time","groupTime31929","G09Q00Time","G09Q01Time","groupTime31930","G10Q00Time","G10Q01Time","groupTime31931","G11Q00Time","G11Q01Time","groupTime31934","G13Q00Time","G13Q01Time","groupTime31936","G14Q00Time","G14Q01Time","groupTime31937","G15Q00Time","G15Q01Time","groupTime31938","G17Q00Time","G17Q01Time","groupTime31939","G19Q00Time","G19Q01Time","groupTime31940","G22Q00Time","G22Q01Time","groupTime31941","G25Q00Time","G25Q01Time","groupTime31942","G28Q00Time","G28Q01Time","groupTime31943","G32Q00Time","G32Q01Time","groupTime31944","G37Q00Time","G37Q01Time","groupTime31945","G42Q00Time","G42Q01Time","groupTime31946","G49Q00Time","G49Q01Time","groupTime31949","G57Q00Time","G57Q01Time","groupTime31948","G66Q00Time","G66Q01Time","groupTime31950","G77Q00Time","G77Q01Time","groupTime31951","G89Q00Time","G89Q01Time","groupTime31952","G103Q00Time","G103Q01Time","groupTime31953","G118Q00Time","G118Q01Time","groupTime31954","G134Q00Time","G134Q01Time","groupTime31955","G152Q00Time","G152Q01Time","groupTime31956","G170Q00Time","G170Q01Time","groupTime31957","G191Q00Time","G191Q01Time","groupTime31958","G210Q00Time","G210Q01Time"
"11","1980-01-01 00:00:00","37","pl","528558703","19","mężczyzna","Zapoznałam/em się z instrukcją i używam komputera.","1","5","2","10","3","10","4","10","6","10","6","10","6","9","7","10","9","9","11","8","10","9","13","7","10","8","15","3","13","8","20","7","20","7","25","7","30","8","40","6","40","6","0","0","50","7","80","5","70","6","80","6","70","6","100","5","110","5","130","7","100","6","110","5","100","4","120","5","150","5","422","11.47","","","25.92","","19.92","","","7.85","","","6.54","","","7.99","","","9.34","","","8.39","","","9.54","","","9.18","","","9.23","","","9.25","","","10.29","","","10.47","","","17.89","","","21.59","","","8.18","","","8.07","","","8.64","","","8.91","","","7.77","","","7.85","","","10.24","","","31.21","","","8.71","","","8.45","","","7.96","","","11.85","","","8.51","","","8.94","","","8.34","","","7.84","","","16.87","","","14.5","","","8.07","","","15","","","11.23","",""
"12","","1","pl","2036046273","22","mężczyzna","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","10.24","10.24","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"13","1980-01-01 00:00:00","37","pl","1545003208","22","mężczyzna","Zapoznałam/em się z instrukcją i używam telefonu z ""Wersją na Komputer"".","1","8","2","10","3","9","4","10","5","10","7","9","18","9","57","8","14","9","18","7","12","4","16","7","26","6","27","4","16","8","16","4","27","6","36","7","27","5","34","5","30","4","26","4","38","4","43","4","40","3","79","7","80","7","42","4","83","9","38","2","68","8","98","3","98","9","100","10","100","9","454.29","8.54","","","18.5","","23.21","","","9.39","","","11.03","","","8.18","","","8.43","","","8.52","","","13.2","","","14.24","","","10.47","","","9.77","","","17.79","","","8.87","","","17","","","11.54","","","9.02","","","12.48","","","11.46","","","15.54","","","12.28","","","8.65","","","11.43","","","9.29","","","11.91","","","16.58","","","10.66","","","11.28","","","9.28","","","16.41","","","16.15","","","21.59","","","9.2","","","14.01","","","9.51","","","9.58","","","9.3","",""
"14","1980-01-01 00:00:00","37","pl","628951513","21","kobieta","Nie udało mi się włączyć ""Wersji na komputer"" i wypełniam ankietę na telefonie.","0","4","2","10","3","0","4","0","5","10","6","0","6","0","7","0","6","0","5","0","7","0","7","0","8","0","7","0","10","0","9","0","15","0","9","0","13","0","10","0","20","0","20","0","20","0","25","0","15","0","50","0","30","0","20","0","50","0","50","0","50","0","10","0","100","0","200","0","200","0","468.87","11.04","","","29.24","","37.14","","","10.24","","","7.78","","","8.25","","","13.08","","","12.05","","","12.75","","","9.22","","","23.07","","","11.93","","","10.2","","","9.94","","","13.42","","","9.98","","","9.67","","","9.06","","","9.06","","","30.07","","","9.73","","","11.87","","","17.41","","","13.44","","","11.09","","","9.7","","","10.01","","","8.17","","","14.58","","","8.4","","","8.37","","","8.57","","","9.7","","","9","","","11.05","","","10.68","","","9.91","",""
"15","","5","pl","904934727","23","kobieta","Nie udało mi się włączyć ""Wersji na komputer"" i wypełniam ankietę na telefonie.","1","10","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","26","5","","","","","","","","","","","","","","","","","20","5","","","","","81.21","9.87","","","12","","33.54","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","12.47","","","","","","","","","","","","","","","","","","","","","","","","","","","13.33","","","","","","","",""
"16","1980-01-01 00:00:00","37","pl","1372156441","21","kobieta","Zapoznałam/em się z instrukcją i używam komputera.","0","2","2","7","3","10","4","8","5","8","6","7","7","6","7","5","7","6","9","3","8","4","10","2","11","3","11","3","12","3","15","3","10","3","12","2","18","2","20","2","22","1","25","3","15","3","20","1","25","1","38","1","25","2","44","1","30","1","20","2","50","2","50","1","58","2","80","2","70","2","608.57","15.99","","","22.95","","29.28","","","13.62","","","12.11","","","12.11","","","13","","","13.61","","","14.53","","","15.6","","","16.3","","","17.73","","","16.86","","","17.26","","","21.31","","","19.06","","","17.37","","","19.84","","","15.13","","","21.91","","","14.9","","","13.71","","","19.49","","","16.04","","","19.03","","","15.01","","","15.09","","","15.5","","","17.43","","","12.85","","","16.08","","","18.47","","","12.93","","","15.25","","","13.9","","","13.2","","","14.12","",""
"17","1980-01-01 00:00:00","37","pl","727393475","21","kobieta","Zapoznałam/em się z instrukcją i używam telefonu z ""Wersją na Komputer"".","1","1","2","1","3","10","4","10","5","8","6","7","7","3","7","2","7","4","8","3","7","2","10","3","10","2","13","2","15","2","14","2","8","1","10","2","17","2","20","2","20","1","22","1","22","1","23","1","30","1","45","1","28","1","55","1","56","1","30","1","43","1","70","1","70","1","50","1","45","1","450.04","7.87","","","6.11","","24.24","","","10.65","","","10.49","","","10.12","","","12.31","","","11.13","","","13.1","","","11.31","","","12.05","","","12.1","","","11.29","","","16.59","","","18.7","","","12.62","","","10.69","","","15.24","","","15.9","","","10.02","","","11.06","","","10.78","","","10.88","","","10.6","","","11.02","","","14.35","","","14.27","","","11.04","","","11.43","","","11.68","","","10.77","","","13.55","","","9.78","","","9.42","","","16.23","","","10.7","","","9.95","",""
"18","","1","pl","591893642","22","kobieta","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","11.93","11.93","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"19","","1","pl","1612543084","26","kobieta","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","8.89","8.89","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"20","","2","pl","106098922","22","kobieta","Nie udało mi się włączyć ""Wersji na komputer"" i wypełniam ankietę na telefonie.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","30.55","9.45","","","21.1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
